year,rank,title,artist
1990,1,Hold On,Wilson Phillips
1990,2,It Must Have Been Love,Roxette
1990,3,Nothing Compares 2 U,Sinéad O'Connor
1990,4,Poison,Bell Biv DeVoe
1990,5,Vogue,Madonna
1990,6,Vision of Love,Mariah Carey
1990,7,Another Day in Paradise,Phil Collins
1990,8,Hold On,En Vogue
1990,9,Cradle of Love,Billy Idol
1990,10,Blaze of Glory,Jon Bon Jovi
1990,11,Do Me!,Bell Biv DeVoe
1990,12,How Am I Supposed to Live Without You,Michael Bolton
1990,13,Pump Up the Jam,Technotronic
1990,14,Opposites Attract,Paula Abdul
1990,15,Escapade,Janet Jackson
1990,16,All I Wanna Do Is Make Love to You,Heart
1990,17,Close to You,Maxi Priest
1990,18,Black Velvet,Alannah Myles
1990,19,Release Me,Wilson Phillips
1990,20,Don't Know Much,Linda RonstadtfeaturingAaron Neville
1990,21,All Around the World,Lisa Stansfield
1990,22,I Wanna Be Rich,Calloway
1990,23,Rub You the Right Way,Johnny Gill
1990,24,She Ain't Worth It,Glenn MedeirosfeaturingBobby Brown
1990,25,If Wishes Came True,Sweet Sensation
1990,26,The Power,Snap!
1990,27,(Can't Live Without Your) Love and Affection,Nelson
1990,28,Love Will Lead You Back,Taylor Dayne
1990,29,Don't Wanna Fall in Love,Jane Child
1990,30,Two to Make It Right,Seduction
1990,31,Sending All My Love,Linear
1990,32,Unskinny Bop,Poison
1990,33,Step by Step,New Kids on the Block
1990,34,Dangerous,Roxette
1990,35,We Didn't Start the Fire,Billy Joel
1990,36,I Don't Have the Heart,James Ingram
1990,37,Downtown Train,Rod Stewart
1990,38,Rhythm Nation,Janet Jackson
1990,39,I'll Be Your Everything,Tommy Page
1990,40,Roam,The B-52's
1990,41,Everything,Jody Watley
1990,42,Back to Life (However Do You Want Me),Soul II SoulfeaturingCaron Wheeler
1990,43,Here and Now,Luther Vandross
1990,44,Alright,Janet Jackson
1990,45,Ice Ice Baby,Vanilla Ice
1990,46,Blame It on the Rain,Milli Vanilli
1990,47,Have You Seen Her,MC Hammer
1990,48,With Every Beat of My Heart,Taylor Dayne
1990,49,Come Back to Me,Janet Jackson
1990,50,No More Lies,Michel'le
1990,51,Praying for Time,George Michael
1990,52,How Can We Be Lovers,Michael Bolton
1990,53,Do You Remember?,Phil Collins
1990,54,Ready or Not,After 7
1990,55,U Can't Touch This,MC Hammer
1990,56,I Wish It Would Rain Down,Phil Collins
1990,57,Just Between You and Me,Lou Gramm
1990,58,Something Happened on the Way to Heaven,Phil Collins
1990,59,Black Cat,Janet Jackson
1990,60,Can't Stop,After 7
1990,61,Janie's Got a Gun,Aerosmith
1990,62,The Humpty Dance,Digital Underground
1990,63,I'll Be Your Shelter,Taylor Dayne
1990,64,Free Fallin',Tom Petty
1990,65,Giving You the Benefit,Pebbles
1990,66,Enjoy the Silence,Depeche Mode
1990,67,Love Song,Tesla
1990,68,Price of Love,Bad English
1990,69,Girls Nite Out,Tyler Collins
1990,70,King of Wishful Thinking,Go West
1990,71,What Kind of Man Would I Be?,Chicago
1990,72,I Remember You,Skid Row
1990,73,Get Up! (Before the Night Is Over),TechnotronicfeaturingYa Kid K
1990,74,Here We Are,Gloria Estefan
1990,75,Epic,Faith No More
1990,76,Love Takes Time,Mariah Carey
1990,77,Just Like Jesse James,Cher
1990,78,Love Shack,The B-52's
1990,79,All or Nothing,Milli Vanilli
1990,80,Romeo,Dino
1990,81,Everybody Everybody,Black Box
1990,82,I Go to Extremes,Billy Joel
1990,83,Whip Appeal,Babyface
1990,84,Oh Girl,Paul Young
1990,85,C'mon and Get My Love,D MobwithCathy Dennis
1990,86,(It's Just) The Way That You Love Me,Paula Abdul
1990,87,We Can't Go Wrong,The Cover Girls
1990,88,When I'm Back on My Feet Again,Michael Bolton
1990,89,Make You Sweat,Keith Sweat
1990,90,This One's for the Children,New Kids on the Block
1990,91,What It Takes,Aerosmith
1990,92,Forever,Kiss
1990,93,Jerk Out,The Time
1990,94,Just a Friend,Biz Markie
1990,95,Whole Wide World,A'me Lorain
1990,96,Without You,Mötley Crüe
1990,97,Swing the Mood,Jive Bunny and the Mastermixers
1990,98,Thieves in the Temple,Prince
1990,99,Mentirosa,Mellow Man Ace
1990,100,Tic-Tac-Toe,Kyper
1991,1,(Everything I Do) I Do It for You,Bryan Adams
1991,2,I Wanna Sex You Up,Color Me Badd
1991,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
1991,4,Rush Rush,Paula Abdul
1991,5,One More Try,Timmy T
1991,6,Unbelievable,EMF
1991,7,More Than Words,Extreme
1991,8,I Like the Way (The Kissing Game),Hi-Five
1991,9,The First Time,Surface
1991,10,Baby Baby,Amy Grant
1991,11,Motownphilly,Boyz II Men
1991,12,Because I Love You (The Postman Song),Stevie B
1991,13,Someday,Mariah Carey
1991,14,High Enough,Damn Yankees
1991,15,From a Distance,Bette Midler
1991,16,All the Man That I Need,Whitney Houston
1991,17,"Right Here, Right Now",Jesus Jones
1991,18,I Adore Mi Amor,Color Me Badd
1991,19,Love Will Never Do (Without You),Janet Jackson
1991,20,Good Vibrations,Marky Mark and the Funky BunchfeaturingLoleatta Holloway
1991,21,Justify My Love,Madonna
1991,22,Emotions,Mariah Carey
1991,23,Joyride,Roxette
1991,24,Romantic,Karyn White
1991,25,Hold You Tight,Tara Kemp
1991,26,I Don't Wanna Cry,Mariah Carey
1991,27,You're in Love,Wilson Phillips
1991,28,Every Heartbeat,Amy Grant
1991,29,Sensitivity,Ralph Tresvant
1991,30,Touch Me (All Night Long),Cathy Dennis
1991,31,I've Been Thinking About You,Londonbeat
1991,32,Do Anything,Natural Selection
1991,33,Losing My Religion,R.E.M.
1991,34,Coming Out of the Dark,Gloria Estefan
1991,35,It Ain't Over 'til It's Over,Lenny Kravitz
1991,36,Here We Go,C+C Music Factory
1991,37,Where Does My Heart Beat Now,Celine Dion
1991,38,Summertime,DJ Jazzy Jeff & The Fresh Prince
1991,39,Wind of Change,Scorpions
1991,40,P.A.S.S.I.O.N.,Rythm Syndicate
1991,41,The Promise of a New Day,Paula Abdul
1991,42,I'm Your Baby Tonight,Whitney Houston
1991,43,Love of a Lifetime,FireHouse
1991,44,Fading Like a Flower (Every Time You Leave),Roxette
1991,45,This House,Tracie Spencer
1991,46,Hole Hearted,Extreme
1991,47,Power of Love/Love Power,Luther Vandross
1991,48,Impulsive,Wilson Phillips
1991,49,Love Is a Wonderful Thing,Michael Bolton
1991,50,Rhythm of My Heart,Rod Stewart
1991,51,Things That Make You Go Hmmm...,C+C Music Factory
1991,52,I Touch Myself,Divinyls
1991,53,Tom's Diner,DNAfeaturingSuzanne Vega
1991,54,Iesha,Another Bad Creation
1991,55,Something to Talk About,Bonnie Raitt
1991,56,After the Rain,Nelson
1991,57,Play That Funky Music,Vanilla Ice
1991,58,Temptation,Corina
1991,59,Can't Stop This Thing We Started,Bryan Adams
1991,60,I Can't Wait Another Minute,Hi-Five
1991,61,3 a.m. Eternal,The KLF
1991,62,"Time, Love and Tenderness",Michael Bolton
1991,63,Sadeness (Part I),Enigma
1991,64,Around the Way Girl,LL Cool J
1991,65,I'll Be There,The Escape Club
1991,66,Cream,PrinceandThe New Power Generation
1991,67,Now That We Found Love,Heavy D & the Boyz
1991,68,Show Me the Way,Styx
1991,69,Love Takes Time,Mariah Carey
1991,70,Cry for Help,Rick Astley
1991,71,The Way You Do the Things You Do,UB40
1991,73,Signs,Tesla
1991,74,Too Many Walls,Cathy Dennis
1991,75,Crazy,Seal
1991,76,I'll Give All My Love to You,Keith Sweat
1991,77,Place in this World,Michael W. Smith
1991,78,Something to Believe In,Poison
1991,79,Wicked Game,Chris Isaak
1991,80,Get Here,Oleta Adams
1991,81,Round and Round,Tevin Campbell
1991,82,Silent Lucidity,Queensrÿche
1991,83,I'm Not in Love,Will to Power
1991,84,Piece of My Heart,Tara Kemp
1991,85,Real Real Real,Jesus Jones
1991,86,Everybody Plays the Fool,Aaron Neville
1991,87,Just Another Dream,Cathy Dennis
1991,88,Strike It Up,Black Box
1991,89,Rico Suave,Gerardo
1991,90,Disappear,INXS
1991,91,Groove Is in the Heart,Deee-Lite
1991,92,All This Time,Sting
1991,93,The One and Only,Chesney Hawkes
1991,94,O.P.P.,Naughty by Nature
1991,95,Freedom! '90,George Michael
1991,96,I Saw Red,Warrant
1991,97,Miles Away,Winger
1991,98,Do You Want Me,Salt-n-Pepa
1991,99,The Motown Song,Rod Stewart
1991,100,Shiny Happy People,R.E.M.
1992,1,End of the Road,Boyz II Men
1992,2,Baby Got Back,Sir Mix-a-Lot
1992,3,Jump,Kris Kross
1992,4,Save the Best for Last,Vanessa Williams
1992,5,Baby-Baby-Baby,TLC
1992,6,Tears in Heaven,Eric Clapton
1992,7,My Lovin' (You're Never Gonna Get It),En Vogue
1992,8,Under the Bridge,Red Hot Chili Peppers
1992,9,All 4 Love,Color Me Badd
1992,10,Just Another Day,Jon Secada
1992,11,I Love Your Smile,Shanice
1992,12,To Be with You,Mr. Big
1992,13,I'm Too Sexy,Right Said Fred
1992,14,Black or White,Michael Jackson
1992,15,Achy Breaky Heart,Billy Ray Cyrus
1992,16,I'll Be There,Mariah Carey
1992,17,November Rain,Guns N' Roses
1992,18,Life Is a Highway,Tom Cochrane
1992,19,Remember the Time,Michael Jackson
1992,20,Finally,CeCe Peniston
1992,21,This Used to Be My Playground,Madonna
1992,22,Sometimes Love Just Ain't Enough,Patty SmythandDon Henley
1992,23,Can't Let Go,Mariah Carey
1992,24,Jump Around,House of Pain
1992,25,Diamonds and Pearls,PrinceandThe New Power Generation
1992,26,Don't Let the Sun Go Down on Me,George MichaelandElton John
1992,27,Masterpiece,Atlantic Starr
1992,28,If You Asked Me To,Celine Dion
1992,29,Giving Him Something He Can Feel,En Vogue
1992,30,Live and Learn,Joe Public
